Rank,Title,Year,Rating,Votes,DurationMin,Genres,Directors,Stars,URL,Poster,Description
13,Fight Club,1999.0,8.8,2524753,139,"Crime, Drama, Thriller",,,https://www.imdb.com/title/tt0137523/,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_.jpg,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
14,Inception,2010.0,8.8,2740077,148,"Action, Adventure, Sci-Fi",,,https://www.imdb.com/title/tt1375666/,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
15,Star Wars: Episode V - The Empire Strikes Back,1980.0,8.7,1469242,124,"Action, Adventure, Fantasy",,,https://www.imdb.com/title/tt0080684/,https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_.jpg,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
16,The Matrix,1999.0,8.7,2193818,136,"Action, Sci-Fi",,,https://www.imdb.com/title/tt0133093/,https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_.jpg,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
17,GoodFellas,1990.0,8.7,1353900,145,"Biography, Crime, Drama",,,https://www.imdb.com/title/tt0099685/,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_.jpg,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
18,Interstellar,2014.0,8.7,2417980,169,"Adventure, Drama, Sci-Fi",,,https://www.imdb.com/title/tt0816692/,https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_.jpg,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
19,One Flew Over the Cuckoo&apos;s Nest,1975.0,8.7,1134049,133,Drama,,,https://www.imdb.com/title/tt0073486/,https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_.jpg,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse."
20,Se7en,1995.0,8.6,1958687,127,"Crime, Drama, Mystery",,,https://www.imdb.com/title/tt0114369/,https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_.jpg,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
21,It&apos;s a Wonderful Life,1947.0,8.6,535728,130,"Drama, Family, Fantasy",,,https://www.imdb.com/title/tt0038650/,https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_.jpg,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.
22,The Silence of the Lambs,1991.0,8.6,1669252,118,"Crime, Drama, Horror",,,https://www.imdb.com/title/tt0102926/,https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_.jpg,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
23,Shichinin no samurai,1956.0,8.6,391528,207,"Action, Drama",,,https://www.imdb.com/title/tt0047478/,https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_.jpg,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
24,Saving Private Ryan,1998.0,8.6,1597877,169,"Drama, War",,,https://www.imdb.com/title/tt0120815/,https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_.jpg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action."
25,The Green Mile,1999.0,8.6,1516588,189,"Crime, Drama, Fantasy",,,https://www.imdb.com/title/tt0120689/,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
26,Cidade de Deus,2004.0,8.6,851456,130,"Crime, Drama",,,https://www.imdb.com/title/tt0317248/,https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_.jpg,"In the slums of Rio, two kids&apos; paths diverge as one struggles to become a photographer and the other a kingpin."
27,La vita è bella,1997.0,8.6,792377,116,"Comedy, Drama, Romance",,,https://www.imdb.com/title/tt0118799/,https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_.jpg,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
28,Terminator 2: Judgment Day,1991.0,8.6,1254225,137,"Action, Adventure, Sci-Fi",,,https://www.imdb.com/title/tt0103064/,https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_.jpg,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
29,Star Wars,1977.0,8.6,1535689,121,"Action, Adventure, Fantasy",,,https://www.imdb.com/title/tt0076759/,https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_.jpg,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire&apos;s world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ..."
30,Back to the Future,1985.0,8.5,1406959,116,"Adventure, Comedy, Sci-Fi",,,https://www.imdb.com/title/tt0088763/,https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_.jpg,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
31,Sen to Chihiro no kamikakushi,2003.0,8.6,934602,124,"Animation, Adventure, Family",,,https://www.imdb.com/title/tt0245429/,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_.jpg,"During her family&apos;s move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts."
32,The Pianist,2003.0,8.5,986700,150,"Biography, Drama, Music",,,https://www.imdb.com/title/tt0253474/,https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_.jpg,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
33,Gladiator,2000.0,8.5,1799371,155,"Action, Adventure, Drama",,,https://www.imdb.com/title/tt0172495/,https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_.jpg,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
34,Gisaengchung,2019.0,8.5,1106902,132,"Drama, Thriller",,,https://www.imdb.com/title/tt6751668/,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_.jpg,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
35,Psycho,1960.0,8.5,766636,109,"Drama, Horror, Mystery",,,https://www.imdb.com/title/tt0054215/,https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_.jpg,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.
36,The Lion King,1994.0,8.5,1226391,88,"Animation, Adventure, Drama",,,https://www.imdb.com/title/tt0110357/,https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_.jpg,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
37,Hotaru no haka,1989.0,8.5,364712,88,"Animation, Drama, War",,,https://www.imdb.com/title/tt0095327/,https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_.jpg,A young boy and his little sister struggle to survive in Japan during World War II.
38,The Departed,2006.0,8.5,1516747,151,"Crime, Drama, Thriller",,,https://www.imdb.com/title/tt0407887/,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
39,Whiplash,2014.0,8.5,1105311,106,"Drama, Music",,,https://www.imdb.com/title/tt2582802/,https://m.media-amazon.com/images/M/MV5BMDFjOWFkYzktYzhhMC00NmYyLTkwY2EtYjViMDhmNzg0OGFkXkEyXkFqcGc@._V1_.jpg,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.
40,Seppuku,1964.0,8.6,83733,133,"Drama, Mystery",,,https://www.imdb.com/title/tt0056058/,https://m.media-amazon.com/images/M/MV5BZThiZjU5ZDQtZDI4Mi00ZGYyLTkzOTktYmIzZTFlZTkxYzg5XkEyXkFqcGc@._V1_.jpg,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity."
41,The Prestige,2006.0,8.5,1545422,130,"Drama, Mystery, Sci-Fi",,,https://www.imdb.com/title/tt0482571/,https://m.media-amazon.com/images/M/MV5BMTM3MzQ5MjQ5OF5BMl5BanBnXkFtZTcwMTQ3NzMzMw@@._V1_.jpg,Rival 19th-century magicians engage in a bitter battle for trade secrets.
42,American History X,1998.0,8.5,1248487,119,"Crime, Drama",,,https://www.imdb.com/title/tt0120586/,https://m.media-amazon.com/images/M/MV5BMzhiOTQ0NDItOTg0Zi00OGVmLWE0OGEtMTI4NDM0NWMxZWU4XkEyXkFqcGc@._V1_.jpg,A white supremacist is released from prison a changed man and hopes to prevent his younger brother from following in his footsteps.
43,Léon,1994.0,8.5,1323247,110,"Action, Crime, Drama",,,https://www.imdb.com/title/tt0110413/,https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_.jpg,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge."
44,Spider-Man: Across the Spider-Verse,2023.0,8.5,484863,140,"Animation, Action, Adventure",,,https://www.imdb.com/title/tt9362722/,https://m.media-amazon.com/images/M/MV5BNThiZjA3MjItZGY5Ni00ZmJhLWEwN2EtOTBlYTA4Y2E0M2ZmXkEyXkFqcGc@._V1_.jpg,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
45,Casablanca,1943.0,8.5,641570,102,"Drama, Romance, War",,,https://www.imdb.com/title/tt0034583/,https://m.media-amazon.com/images/M/MV5BNWEzN2U1YTYtYTQyMS00NTVkLWE2NGQtZWFlMmM0MDNjMmRiXkEyXkFqcGc@._V1_.jpg,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
46,Nuovo Cinema Paradiso,1990.0,8.5,307800,174,"Drama, Romance",,,https://www.imdb.com/title/tt0095765/,https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_.jpg,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
47,Intouchables,2011.0,8.5,997616,112,"Comedy, Drama",,,https://www.imdb.com/title/tt1675434/,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
48,The Usual Suspects,1995.0,8.5,1210328,106,"Crime, Drama, Mystery",,,https://www.imdb.com/title/tt0114814/,https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_.jpg,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
49,Alien,1979.0,8.5,1037389,117,"Horror, Sci-Fi",,,https://www.imdb.com/title/tt0078748/,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_.jpg,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
50,Modern Times,1936.0,8.5,277738,87,"Comedy, Drama, Romance",,,https://www.imdb.com/title/tt0027977/,https://m.media-amazon.com/images/M/MV5BODVkZGFhNGQtYjdiYi00Njc4LWFmYTItNTlmNzJjMTg1ZDc5XkEyXkFqcGc@._V1_.jpg,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
51,Rear Window,1954.0,8.5,556077,112,"Drama, Mystery, Thriller",,,https://www.imdb.com/title/tt0047396/,https://m.media-amazon.com/images/M/MV5BODZhOWI1ODgtMzdiOS00YjNkLTgwOGUtYmIyZDg5ZmQwMzQ1XkEyXkFqcGc@._V1_.jpg,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
52,Django Unchained,2012.0,8.5,1829607,165,"Drama, Western",,,https://www.imdb.com/title/tt1853728/,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
53,C&apos;era una volta il West,1969.0,8.5,374982,166,"Drama, Western",,,https://www.imdb.com/title/tt0064116/,https://m.media-amazon.com/images/M/MV5BZjYyNGY1MDEtN2I1MC00MGVhLTljZTYtODQ1NzQ0ODc2NzZlXkEyXkFqcGc@._V1_.jpg,A mysterious stranger with a harmonica teams up with a notorious desperado to protect a beautiful widow and her land from a ruthless assassin in the employ of a railroad tycoon.
54,City Lights,1931.0,8.5,210196,87,"Comedy, Drama, Romance",,,https://www.imdb.com/title/tt0021749/,https://m.media-amazon.com/images/M/MV5BYmMwZDIyZWUtODVhYS00MDRmLTg0N2ItMzU5MGZhN2IxNmZjXkEyXkFqcGc@._V1_.jpg,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
55,Apocalypse Now,1979.0,8.4,753609,147,"Drama, Mystery, War",,,https://www.imdb.com/title/tt0078788/,https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_.jpg,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
56,WALL·E,2008.0,8.4,1285078,98,"Animation, Adventure, Family",,,https://www.imdb.com/title/tt0910970/,https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
57,Memento,2001.0,8.4,1402710,113,"Drama, Mystery, Thriller",,,https://www.imdb.com/title/tt0209144/,https://m.media-amazon.com/images/M/MV5BYmQ3MjliNjAtNWFiZS00YWI1LTlmZTktMzBiNDE1NjRhZjU0XkEyXkFqcGc@._V1_.jpg,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife&apos;s murderer.
58,Dune: Part Two,2024.0,8.4,672870,166,"Action, Adventure, Drama",,,https://www.imdb.com/title/tt15239678/,https://m.media-amazon.com/images/M/MV5BNTc0YmQxMjEtODI5MC00NjFiLTlkMWUtOGQ5NjFmYWUyZGJhXkEyXkFqcGc@._V1_.jpg,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible fu..."
59,Raiders of the Lost Ark,1981.0,8.4,1089908,115,"Action, Adventure",,,https://www.imdb.com/title/tt0082971/,https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_.jpg,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first."
60,Avengers: Infinity War,2018.0,8.4,1324821,149,"Action, Adventure, Sci-Fi",,,https://www.imdb.com/title/tt4154756/,https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_.jpg,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
61,Das Leben der Anderen,2007.0,8.4,433574,137,"Drama, Mystery, Thriller",,,https://www.imdb.com/title/tt0405094/,https://m.media-amazon.com/images/M/MV5BYjM1N2Q0YWEtN2E5MC00NDM3LTk2NTEtMTc1NTk5OTA5ZGIzXkEyXkFqcGc@._V1_.jpg,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
62,Sunset Blvd.,1950.0,8.4,253340,110,"Drama, Film-Noir",,,https://www.imdb.com/title/tt0043014/,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_.jpg,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
63,Spider-Man: Into the Spider-Verse,2018.0,8.4,755445,117,"Animation, Action, Adventure",,,https://www.imdb.com/title/tt4633694/,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_.jpg,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
64,Witness for the Prosecution,1958.0,8.4,154407,116,"Crime, Drama, Mystery",,,https://www.imdb.com/title/tt0051201/,https://m.media-amazon.com/images/M/MV5BNjRhNTQzMzQtMWViMi00ODQ1LTg0MTEtYWE4ZWZlYjM4YjJhXkEyXkFqcGc@._V1_.jpg,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
65,Paths of Glory,1957.0,8.4,231064,88,"Drama, War",,,https://www.imdb.com/title/tt0050825/,https://m.media-amazon.com/images/M/MV5BNmQ2NmI2ODYtMDQzNS00NzQyLTkzZjgtZmZlYTQ5MTc1OWU3XkEyXkFqcGc@._V1_.jpg,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
66,The Shining,1980.0,8.4,1189410,146,"Drama, Horror",,,https://www.imdb.com/title/tt0081505/,https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_.jpg,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
67,The Great Dictator,1941.0,8.4,252398,125,"Comedy, Drama, War",,,https://www.imdb.com/title/tt0032553/,https://m.media-amazon.com/images/M/MV5BMjc4ZjEwNDUtMjlmZS00NzQ4LTg2N2MtMGI3ZjMyMmM3ZDM2XkEyXkFqcGc@._V1_.jpg,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.
68,Inglourious Basterds,2009.0,8.4,1725915,153,"Adventure, Drama, War",,,https://www.imdb.com/title/tt0361748/,https://m.media-amazon.com/images/M/MV5BODZhMWJlNjYtNDExNC00MTIzLTllM2ItOGQ2NGVjNDQ3MzkzXkEyXkFqcGc@._V1_.jpg,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same."
69,Aliens,1986.0,8.4,822885,137,"Action, Adventure, Horror",,,https://www.imdb.com/title/tt0090605/,https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_.jpg,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
